Condition 2,Garage Cond,Overall Qual,Land Contour,Heating,Enclosed Porch,Lot Shape,Kitchen AbvGr,Garage Finish,Lot Area,Bsmt Exposure,Electrical,Functional,Alley,Land Slope,Fireplaces,Wood Deck SF,Garage Type,Year Remod/Add,MS SubClass,Bldg Type,Exter Cond,BsmtFin Type 2,Exterior 1st,Id,PID,Roof Matl,Overall Cond,Low Qual Fin SF,Screen Porch,Exter Qual,Kitchen Qual,BsmtFin SF 1,Roof Style,Utilities,BsmtFin Type 1,Bsmt Unf SF,Sale Type,Year Built,Mas Vnr Area,Bsmt Full Bath,Misc Feature,Fence,Garage Area,Exterior 2nd,Mas Vnr Type,MS Zoning,3Ssn Porch,Mo Sold,1st Flr SF,2nd Flr SF,Garage Qual,Half Bath,Central Air,Condition 1,BsmtFin SF 2,Foundation,Bsmt Qual,Pool QC,Bsmt Cond,Lot Config,Bedroom AbvGr,Full Bath,Total Bsmt SF,Garage Cars,Heating QC,Bsmt Half Bath,Pool Area,Yr Sold,Paved Drive,Misc Val,Gr Liv Area,SalePrice,House Style,Street,TotRms AbvGrd,Neighborhood,Fireplace Qu,Open Porch SF,log-Lot Area,log-1st Flr SF,log-Gr Liv Area,log-SalePrice,yr_since_built,yr_since_remod,is_built_recently,is_remod_recently
Norm,TA,6,Lvl,GasA,0.0,Reg,1,Unf,1680.0,No,SBrkr,Typ,NA,Gtl,0,0.0,Detchd,1971,160,TwnhsI,TA,Unf,HdBoard,1044,527451290,CompShg,5,0.0,0.0,TA,TA,387.0,Gable,AllPub,ALQ,96.0,COD,1971,232.0,0,NA,NA,264.0,HdBoard,BrkFace,RM,0.0,7,483.0,504.0,TA,1,Y,Norm,0.0,CBlock,TA,NA,TA,Inside,2,1,483.0,1,TA,0,0.0,2008,Y,0.0,987.0,85400.0,2Story,Pave,4,BrDale,NA,0.0,7.426549072397305,6.180016653652572,6.894670039433482,11.355101379776661,37,37,0,0
Norm,TA,7,Lvl,GasA,0.0,IR1,1,RFn,7488.0,Av,SBrkr,Typ,NA,Gtl,0,105.0,Attchd,2005,20,1Fam,TA,Unf,VinylSd,2752,906380150,CompShg,5,0.0,0.0,Gd,Gd,393.0,Gable,AllPub,GLQ,815.0,WD,2005,0.0,0,NA,NA,632.0,VinylSd,None,RL,0.0,2,1208.0,0.0,TA,0,Y,Norm,0.0,PConc,Gd,NA,TA,Inside,2,2,1208.0,2,Ex,0,0.0,2006,Y,0.0,1208.0,183600.0,1Story,Pave,6,CollgCr,NA,58.0,8.921057018157429,7.0967213784947605,7.0967213784947605,12.120514757168527,1,1,1,1
Norm,TA,5,Bnk,GasA,0.0,Reg,1,Unf,26400.0,NA,SBrkr,Mod,NA,Gtl,1,0.0,Attchd,2007,70,1Fam,TA,NA,HdBoard,807,906226060,CompShg,7,0.0,0.0,Gd,TA,0.0,Gable,AllPub,NA,0.0,WD,1880,0.0,0,NA,NA,576.0,HdBoard,None,RL,0.0,6,1288.0,728.0,TA,0,Y,Feedr,0.0,PConc,NA,NA,NA,FR2,4,1,0.0,2,Ex,0,0.0,2009,P,0.0,2016.0,131000.0,2Story,Pave,7,SawyerW,TA,0.0,10.181119289134408,7.160845906664299,7.60887062919126,11.782952602183288,129,2,0,1
Norm,TA,8,Lvl,GasA,0.0,Reg,1,Unf,2645.0,No,SBrkr,Typ,Pave,Gtl,0,169.0,Detchd,2000,160,TwnhsI,TA,Unf,MetalSd,1177,533236070,CompShg,5,0.0,0.0,Gd,Gd,813.0,Gable,AllPub,GLQ,147.0,ConLD,1999,456.0,1,NA,NA,480.0,MetalSd,BrkFace,FV,0.0,12,962.0,645.0,TA,1,Y,Norm,0.0,PConc,Gd,NA,TA,Inside,3,2,960.0,2,Ex,0,0.0,2008,Y,0.0,1607.0,200000.0,2Story,Pave,7,Somerst,NA,0.0,7.8804263442924,6.8690144506657065,7.382124365737512,12.206072645530174,9,8,1,1
Norm,TA,7,Lvl,GasA,0.0,Reg,1,RFn,9627.0,Av,SBrkr,Typ,NA,Gtl,0,0.0,Attchd,2007,20,1Fam,TA,Unf,VinylSd,1480,907418040,CompShg,5,0.0,0.0,Gd,Gd,24.0,Gable,AllPub,GLQ,1327.0,WD,2007,0.0,0,NA,NA,610.0,VinylSd,None,RL,0.0,6,1361.0,0.0,TA,0,Y,Norm,0.0,PConc,Gd,NA,TA,Inside,3,2,1351.0,2,Ex,0,0.0,2008,Y,0.0,1361.0,193000.0,1Story,Pave,6,CollgCr,NA,50.0,9.172326929777967,7.215975002651466,7.215975002651466,12.170445467887022,1,1,1,1
Norm,TA,5,Lvl,GasA,0.0,Reg,1,RFn,10114.0,Av,SBrkr,Typ,NA,Gtl,0,0.0,Attchd,2005,20,1Fam,TA,Unf,VinylSd,324,923202105,CompShg,5,0.0,0.0,TA,Gd,0.0,Gable,AllPub,Unf,1430.0,WD,2004,0.0,0,NA,NA,624.0,VinylSd,None,RL,0.0,3,1430.0,0.0,TA,0,Y,Norm,0.0,PConc,Ex,NA,TA,Inside,3,2,1430.0,2,Ex,0,0.0,2010,Y,0.0,1430.0,173500.0,1Story,Pave,7,Mitchel,NA,0.0,9.221675881639928,7.265429723253953,7.265429723253953,12.063932878369052,6,5,1,1
Norm,Fa,5,Lvl,GasA,96.0,Reg,1,Unf,4571.0,No,SBrkr,Typ,Grvl,Gtl,0,0.0,Detchd,1950,70,1Fam,TA,Unf,AsbShng,1311,902301140,CompShg,5,0.0,0.0,TA,TA,0.0,Gable,AllPub,Unf,624.0,COD,1916,0.0,0,NA,NA,513.0,AsbShng,None,RM,0.0,5,624.0,720.0,Fa,0,N,Norm,0.0,BrkTil,TA,NA,TA,Inside,4,1,624.0,3,Fa,0,0.0,2008,Y,0.0,1344.0,98000.0,2Story,Pave,7,OldTown,NA,0.0,8.427487278331744,6.436150368369428,7.203405521083095,11.49272275765271,92,58,0,0
Norm,TA,5,Lvl,GasA,0.0,Reg,1,Unf,8816.0,No,SBrkr,Typ,NA,Gtl,0,0.0,Detchd,1963,20,1Fam,TA,Unf,VinylSd,770,905101490,CompShg,6,0.0,0.0,TA,TA,651.0,Gable,AllPub,Rec,470.0,WD,1963,0.0,1,NA,MnPrv,480.0,VinylSd,None,RL,0.0,6,1121.0,0.0,TA,0,Y,Feedr,0.0,PConc,TA,NA,TA,Corner,3,1,1121.0,2,TA,0,0.0,2009,Y,0.0,1121.0,139000.0,1Story,Pave,5,Sawyer,NA,80.0,9.084323531392696,7.02197642307216,7.02197642307216,11.842229212112828,46,46,0,0
Norm,TA,6,Lvl,GasA,0.0,Reg,1,RFn,8197.0,No,SBrkr,Typ,NA,Gtl,1,138.0,Attchd,1977,20,1Fam,TA,Unf,Plywood,2063,905107140,CompShg,5,0.0,0.0,TA,TA,0.0,Gable,AllPub,Unf,660.0,WD,1977,148.0,0,NA,MnPrv,528.0,Plywood,BrkFace,RL,0.0,4,1285.0,0.0,TA,1,Y,Norm,0.0,CBlock,TA,NA,TA,Inside,3,1,660.0,2,Ex,0,0.0,2007,Y,0.0,1285.0,143500.0,1Story,Pave,7,Sawyer,TA,0.0,9.011523512653032,7.158513997329321,7.158513997329321,11.874090314181814,30,30,0,0
Norm,TA,7,Lvl,GasA,0.0,Reg,1,Unf,8640.0,Mn,SBrkr,Typ,NA,Gtl,0,169.0,Attchd,2009,60,1Fam,TA,Unf,VinylSd,69,528458070,CompShg,5,0.0,0.0,TA,Gd,24.0,Gable,AllPub,GLQ,732.0,Con,2009,0.0,0,NA,NA,614.0,VinylSd,None,FV,0.0,6,764.0,783.0,TA,1,Y,Norm,0.0,PConc,Gd,NA,TA,Inside,3,2,756.0,2,Ex,0,0.0,2010,Y,0.0,1547.0,215200.0,2Story,Pave,7,Somerst,NA,45.0,9.064157861798101,6.638567789166521,7.344072850573066,12.279323107269766,1,1,1,1
Norm,TA,5,Lvl,GasA,0.0,Reg,1,Fin,8724.0,No,SBrkr,Typ,NA,Gtl,1,0.0,Attchd,1968,20,1Fam,TA,Unf,VinylSd,2062,905106150,CompShg,5,0.0,0.0,TA,TA,492.0,Gable,AllPub,BLQ,402.0,WD,1968,0.0,0,NA,NA,450.0,VinylSd,None,RL,0.0,5,894.0,0.0,TA,0,Y,Norm,0.0,CBlock,Gd,NA,TA,Inside,3,1,894.0,2,Gd,0,0.0,2007,Y,0.0,894.0,129000.0,1Story,Pave,5,Sawyer,Po,0.0,9.07383312732152,6.795705775173514,6.795705775173514,11.76756768334381,39,39,0,0
Norm,TA,8,Lvl,GasA,0.0,IR1,1,Fin,5664.0,No,SBrkr,Typ,NA,Gtl,1,212.0,Attchd,2000,120,TwnhsE,TA,Unf,CemntBd,351,527131030,CompShg,5,0.0,0.0,Gd,Ex,1158.0,Gable,AllPub,GLQ,343.0,WD,2000,0.0,1,NA,NA,499.0,CmentBd,None,RL,0.0,10,1659.0,0.0,TA,0,Y,Norm,0.0,PConc,Gd,NA,TA,Inside,2,2,1501.0,2,Ex,0,0.0,2009,Y,0.0,1659.0,278000.0,1Story,Pave,5,StoneBr,Ex,59.0,8.641885635373555,7.413970290190444,7.413970290190444,12.535376392672774,9,9,1,1
Norm,TA,6,Lvl,GasA,0.0,IR1,1,Fin,7980.0,No,SBrkr,Typ,NA,Gtl,0,483.0,Attchd,2007,20,1Fam,Gd,Unf,HdBoard,12,527165230,CompShg,7,0.0,0.0,TA,TA,935.0,Gable,AllPub,ALQ,233.0,WD,1992,0.0,1,Shed,GdPrv,420.0,HdBoard,None,RL,0.0,3,1187.0,0.0,TA,0,Y,Norm,0.0,PConc,Gd,NA,TA,Inside,3,2,1168.0,2,Ex,0,0.0,2010,Y,500.0,1187.0,185000.0,1Story,Pave,6,Gilbert,NA,21.0,8.984693690443855,7.079184394609668,7.079184394609668,12.128111104060462,18,3,0,1
Norm,TA,5,Bnk,GasA,0.0,Reg,1,Fin,34650.0,Mn,SBrkr,Typ,NA,Gtl,0,264.0,Attchd,1955,190,2FmCon,TA,Unf,Wd Sdng,2339,527250040,CompShg,5,0.0,0.0,TA,TA,1056.0,Hip,AllPub,Rec,0.0,WD,1955,0.0,1,NA,NA,572.0,Wd Sdng,None,RL,0.0,1,1056.0,0.0,TA,0,N,Norm,0.0,CBlock,TA,NA,TA,Inside,3,1,1056.0,2,TA,0,0.0,2006,Y,0.0,1056.0,145000.0,1Story,Pave,5,Gilbert,NA,0.0,10.453053004618049,6.962243464266207,6.962243464266207,11.884489021402711,51,51,0,0
Norm,TA,6,Lvl,GasA,0.0,IR1,1,RFn,10573.0,No,SBrkr,Typ,NA,Gtl,1,0.0,Attchd,1961,20,1Fam,TA,Unf,MetalSd,624,535104120,CompShg,6,0.0,288.0,TA,TA,1312.0,Hip,AllPub,Rec,141.0,WD,1961,3.0,1,NA,GdPrv,530.0,MetalSd,BrkFace,RL,0.0,4,1453.0,0.0,TA,0,Y,Norm,0.0,CBlock,TA,NA,TA,Corner,3,2,1453.0,2,Ex,0,0.0,2009,Y,0.0,1453.0,187500.0,1Story,Pave,6,Names,TA,49.0,9.266058860732526,7.2813856635702825,7.2813856635702825,12.141534124392603,48,48,0,0
Norm,TA,5,Lvl,GasA,0.0,Reg,1,Unf,8450.0,No,SBrkr,Typ,NA,Gtl,1,416.0,Detchd,2009,20,1Fam,Gd,BLQ,MetalSd,86,532376160,CompShg,8,0.0,0.0,TA,TA,553.0,Gable,AllPub,GLQ,224.0,WD,1965,0.0,1,NA,MnPrv,336.0,MetalSd,None,RL,0.0,4,894.0,0.0,TA,0,Y,RRAe,117.0,CBlock,TA,NA,TA,Inside,3,1,894.0,1,Ex,0,0.0,2010,Y,0.0,894.0,138500.0,1Story,Pave,5,Sawyer,Gd,144.0,9.041921720351219,6.795705775173514,6.795705775173514,11.83862560460953,45,1,0,1
Norm,TA,5,HLS,GasA,0.0,IR1,1,Unf,11700.0,No,SBrkr,Min2,Grvl,Mod,1,0.0,Detchd,1995,50,1Fam,TA,Unf,WdShing,1534,909277040,CompShg,6,0.0,0.0,TA,Gd,606.0,Gable,AllPub,BLQ,336.0,WD,1937,0.0,0,NA,NA,240.0,Wd Shng,None,RL,0.0,7,1265.0,673.0,TA,0,Y,Norm,0.0,CBlock,TA,NA,TA,Inside,4,2,942.0,1,Ex,0,0.0,2008,Y,0.0,1938.0,198000.0,1.5Fin,Pave,7,Crawfor,Gd,40.0,9.367344120785848,7.142827401161621,7.569411792450712,12.196022309676673,71,13,0,0
Norm,NA,5,Lvl,GasA,133.0,Reg,2,NA,8250.0,No,SBrkr,Typ,NA,Gtl,0,0.0,NA,2006,190,2FmCon,Gd,Unf,VinylSd,2243,911103060,CompShg,6,0.0,0.0,TA,TA,0.0,Gable,AllPub,Unf,957.0,WD,1895,0.0,0,NA,NA,0.0,VinylSd,None,C,0.0,6,1034.0,957.0,NA,0,N,Feedr,0.0,CBlock,TA,NA,TA,Inside,4,2,957.0,0,Fa,0,0.0,2007,N,0.0,1991.0,119600.0,2Story,Pave,9,IDOTRR,NA,0.0,9.017968479328726,6.9411900550683745,7.596392304064196,11.691908120498669,112,1,0,1
Norm,TA,5,Lvl,GasA,0.0,Reg,1,Unf,8064.0,Mn,SBrkr,Typ,NA,Gtl,1,0.0,Detchd,2006,50,1Fam,Gd,Unf,MetalSd,1957,535450190,CompShg,7,0.0,0.0,TA,TA,0.0,Gable,AllPub,Unf,672.0,WD,1949,0.0,0,Shed,MnPrv,576.0,MetalSd,None,RL,0.0,7,672.0,252.0,TA,0,Y,Artery,0.0,CBlock,TA,NA,TA,Corner,3,1,672.0,2,Ex,0,0.0,2007,Y,2000.0,924.0,122900.0,1.5Fin,Pave,6,Names,Po,0.0,8.99516499031115,6.51025834052315,6.828712071641684,11.719126295554126,58,1,0,1
Norm,TA,8,Lvl,GasA,0.0,Reg,1,Fin,9600.0,No,SBrkr,Typ,NA,Gtl,1,474.0,Attchd,1981,20,1Fam,TA,Unf,BrkFace,380,527355150,WdShngl,5,0.0,0.0,Gd,Gd,1104.0,Hip,AllPub,ALQ,1420.0,WD,1981,0.0,1,NA,MnPrv,542.0,BrkFace,None,RL,0.0,7,2524.0,0.0,TA,1,Y,PosN,0.0,PConc,Gd,NA,TA,Inside,4,2,2524.0,2,TA,0,0.0,2009,Y,0.0,2524.0,278000.0,1Story,Pave,9,NWAmes,Gd,120.0,9.169518377455928,7.8336002236611035,7.8336002236611035,12.535376392672774,28,28,0,0
Norm,TA,8,HLS,GasA,0.0,IR1,1,Unf,11435.0,No,SBrkr,Typ,NA,Mod,2,0.0,Detchd,1950,70,1Fam,TA,Unf,BrkFace,2860,909276010,CompShg,7,0.0,0.0,TA,Gd,0.0,Gable,AllPub,Unf,792.0,WD,1929,0.0,0,NA,NA,400.0,Stucco,None,RL,0.0,6,792.0,725.0,TA,0,Y,Norm,0.0,PConc,Gd,NA,TA,Corner,3,1,792.0,2,Fa,0,0.0,2006,Y,0.0,1517.0,230000.0,2Story,Pave,7,Crawfor,Gd,0.0,9.344434106456882,6.674561391814426,7.324489979348532,12.345834587905333,77,56,0,0
Norm,TA,8,Lvl,GasA,0.0,IR1,1,Fin,9549.0,Av,SBrkr,Typ,NA,Gtl,1,0.0,Attchd,1996,120,TwnhsE,Gd,GLQ,BrkFace,2517,533250130,CompShg,5,0.0,216.0,Gd,Ex,437.0,Hip,AllPub,LwQ,0.0,WD,1995,0.0,1,NA,NA,481.0,BrkFace,None,RL,0.0,4,1494.0,0.0,TA,1,Y,Norm,1057.0,PConc,Gd,NA,Gd,CulDSac,2,1,1494.0,2,Ex,0,0.0,2006,Y,0.0,1494.0,270000.0,1Story,Pave,6,Veenker,Gd,30.0,9.164191715950203,7.309212365692763,7.309212365692763,12.506177237980511,11,10,0,1
Norm,TA,6,Lvl,GasA,0.0,Reg,1,Unf,10950.0,No,SBrkr,Typ,NA,Gtl,0,0.0,Detchd,1952,20,1Fam,TA,Unf,Wd Sdng,1933,535302070,CompShg,6,0.0,0.0,TA,TA,441.0,Hip,AllPub,ALQ,507.0,WD,1952,0.0,0,NA,NA,410.0,Wd Sdng,None,RL,0.0,4,948.0,0.0,TA,0,Y,Norm,0.0,CBlock,TA,NA,TA,Inside,2,1,948.0,2,TA,0,0.0,2007,N,0.0,948.0,125000.0,1Story,Pave,5,Names,NA,48.0,9.301094735244646,6.854354502255021,6.854354502255021,11.736069016284437,55,55,0,0
Norm,TA,8,Lvl,GasA,0.0,Reg,1,RFn,10637.0,Gd,SBrkr,Typ,NA,Gtl,1,208.0,Attchd,2008,20,1Fam,TA,Unf,VinylSd,820,906340110,CompShg,5,0.0,0.0,Gd,Gd,1288.0,Hip,AllPub,GLQ,417.0,WD,2007,336.0,1,NA,NA,826.0,VinylSd,Stone,RL,0.0,9,1718.0,0.0,TA,0,Y,Norm,0.0,PConc,Ex,NA,TA,Inside,3,2,1705.0,3,Ex,0,0.0,2009,Y,0.0,1718.0,297000.0,1Story,Pave,7,CollgCr,Gd,44.0,9.272093768251665,7.4489161025442,7.4489161025442,12.601487417784837,2,1,1,1
Norm,TA,6,HLS,GasA,64.0,IR1,1,RFn,9000.0,Gd,SBrkr,Typ,NA,Mod,1,0.0,Basment,1958,20,1Fam,TA,Unf,Wd Sdng,675,535426150,Tar&Grv,6,0.0,0.0,TA,TA,0.0,Flat,AllPub,Unf,160.0,WD,1958,82.0,0,NA,NA,384.0,Wd Sdng,BrkFace,RL,0.0,4,1142.0,0.0,TA,0,Y,Norm,0.0,CBlock,Gd,NA,TA,Inside,2,1,160.0,1,Fa,0,0.0,2009,Y,0.0,1142.0,113500.0,1Story,Pave,5,Names,Gd,28.0,9.104979856318357,7.040536390215956,7.040536390215956,11.639558115903595,51,51,0,0
Norm,TA,5,Lvl,GasA,0.0,Reg,1,RFn,2665.0,No,SBrkr,Typ,NA,Gtl,1,104.0,Attchd,1977,160,TwnhsE,TA,Rec,CemntBd,2910,923225240,CompShg,6,0.0,0.0,TA,TA,548.0,Gable,AllPub,ALQ,36.0,WD,1977,0.0,0,NA,NA,336.0,CmentBd,None,RM,0.0,7,925.0,550.0,TA,0,Y,Norm,173.0,PConc,TA,NA,TA,Inside,4,2,757.0,1,Ex,0,0.0,2006,Y,0.0,1475.0,127000.0,2Story,Pave,6,MeadowV,TA,26.0,7.887959336599945,6.829793737512425,7.29641326877392,11.751942365440728,29,29,0,0
Norm,TA,6,Lvl,GasA,0.0,IR1,1,RFn,11751.0,No,SBrkr,Typ,NA,Gtl,1,0.0,Attchd,1977,20,1Fam,TA,Unf,Plywood,21,527358140,CompShg,6,0.0,0.0,TA,TA,705.0,Hip,AllPub,BLQ,1139.0,COD,1977,480.0,0,NA,MnPrv,546.0,Plywood,BrkFace,RL,0.0,1,1844.0,0.0,TA,0,Y,Norm,0.0,CBlock,Gd,NA,TA,Inside,3,2,1844.0,2,Ex,0,0.0,2010,Y,0.0,1844.0,190000.0,1Story,Pave,7,NWAmes,TA,122.0,9.371693622333941,7.519692404116539,7.519692404116539,12.154779351142624,33,33,0,0
Norm,TA,7,Lvl,GasA,0.0,Reg,1,Unf,9600.0,No,SBrkr,Typ,NA,Gtl,1,0.0,Attchd,1973,20,1Fam,TA,Unf,HdBoard,1873,534177210,CompShg,6,0.0,0.0,TA,TA,916.0,Hip,AllPub,ALQ,326.0,WD,1973,320.0,0,NA,NA,528.0,HdBoard,BrkFace,RL,0.0,9,1242.0,0.0,TA,1,Y,Norm,0.0,CBlock,TA,NA,TA,Inside,3,1,1242.0,2,Fa,0,0.0,2007,Y,0.0,1242.0,175500.0,1Story,Pave,6,NWAmes,TA,0.0,9.169518377455928,7.124478262493424,7.124478262493424,12.075394321888057,34,34,0,0
