Yr Sold,Garage Cond,SalePrice,2nd Flr SF,Exter Qual,Condition 2,Pool QC,Paved Drive,Half Bath,Exter Cond,Functional,Full Bath,MS SubClass,Electrical,Mas Vnr Type,Land Contour,Kitchen Qual,1st Flr SF,Garage Qual,Mo Sold,MS Zoning,Heating,BsmtFin Type 1,BsmtFin SF 2,Roof Matl,Total Bsmt SF,Low Qual Fin SF,Sale Type,Wood Deck SF,TotRms AbvGrd,Screen Porch,Garage Type,Neighborhood,Land Slope,BsmtFin Type 2,Heating QC,Condition 1,Bldg Type,PID,Fireplaces,Pool Area,Fence,Mas Vnr Area,Lot Config,Enclosed Porch,Central Air,Gr Liv Area,Street,Alley,Garage Cars,House Style,Misc Val,Bsmt Half Bath,Fireplace Qu,Garage Finish,Overall Qual,Id,Lot Area,Utilities,Year Remod/Add,Garage Area,Foundation,Year Built,Open Porch SF,Misc Feature,BsmtFin SF 1,3Ssn Porch,Exterior 1st,Roof Style,Bsmt Cond,Exterior 2nd,Bsmt Qual,Overall Cond,Kitchen AbvGr,Bsmt Unf SF,Lot Shape,Bsmt Full Bath,Bedroom AbvGr,Bsmt Exposure,log-Lot Area,log-1st Flr SF,log-Gr Liv Area,log-SalePrice
2008,3.0,85400.0,504.0,3,Norm,0,Y,1,3,8,1,160,SBrkr,BrkFace,Lvl,3,483.0,3,7,RM,GasA,5,0.0,CompShg,483.0,0.0,COD,0.0,4,0.0,Detchd,BrDale,1,1,3,Norm,TwnhsI,527451290,0,0.0,NA,232.0,Inside,0.0,Y,987.0,Pave,NA,1,2Story,0.0,0,0,Unf,6,1044,1680.0,4,1971,264.0,CBlock,1971,0.0,NA,387.0,0.0,HdBoard,Gable,3,HdBoard,3,5,1,96.0,1,0,2,1,7.426549072397305,6.180016653652572,6.894670039433482,11.355101379776661
2006,3.0,183600.0,0.0,4,Norm,0,Y,0,3,8,2,20,SBrkr,None,Lvl,4,1208.0,3,2,RL,GasA,6,0.0,CompShg,1208.0,0.0,WD,105.0,6,0.0,Attchd,CollgCr,1,1,5,Norm,1Fam,906380150,0,0.0,NA,0.0,Inside,0.0,Y,1208.0,Pave,NA,2,1Story,0.0,0,0,RFn,7,2752,7488.0,4,2005,632.0,PConc,2005,58.0,NA,393.0,0.0,VinylSd,Gable,3,VinylSd,4,5,1,815.0,2,0,2,3,8.921057018157429,7.0967213784947605,7.0967213784947605,12.120514757168527
2009,3.0,131000.0,728.0,4,Norm,0,P,0,3,5,1,70,SBrkr,None,Bnk,3,1288.0,3,6,RL,GasA,0,0.0,CompShg,0.0,0.0,WD,0.0,7,0.0,Attchd,SawyerW,1,0,5,Feedr,1Fam,906226060,1,0.0,NA,0.0,FR2,0.0,Y,2016.0,Pave,NA,2,2Story,0.0,0,3,Unf,5,807,26400.0,4,2007,576.0,PConc,1880,0.0,NA,0.0,0.0,HdBoard,Gable,0,HdBoard,0,7,1,0.0,1,0,4,0,10.181119289134408,7.160845906664299,7.60887062919126,11.782952602183288
2008,3.0,200000.0,645.0,4,Norm,0,Y,1,3,8,2,160,SBrkr,BrkFace,Lvl,4,962.0,3,12,FV,GasA,6,0.0,CompShg,960.0,0.0,ConLD,169.0,7,0.0,Detchd,Somerst,1,1,5,Norm,TwnhsI,533236070,0,0.0,NA,456.0,Inside,0.0,Y,1607.0,Pave,Pave,2,2Story,0.0,0,0,Unf,8,1177,2645.0,4,2000,480.0,PConc,1999,0.0,NA,813.0,0.0,MetalSd,Gable,3,MetalSd,4,5,1,147.0,1,1,3,1,7.8804263442924,6.8690144506657065,7.382124365737512,12.206072645530174
2008,3.0,193000.0,0.0,4,Norm,0,Y,0,3,8,2,20,SBrkr,None,Lvl,4,1361.0,3,6,RL,GasA,6,0.0,CompShg,1351.0,0.0,WD,0.0,6,0.0,Attchd,CollgCr,1,1,5,Norm,1Fam,907418040,0,0.0,NA,0.0,Inside,0.0,Y,1361.0,Pave,NA,2,1Story,0.0,0,0,RFn,7,1480,9627.0,4,2007,610.0,PConc,2007,50.0,NA,24.0,0.0,VinylSd,Gable,3,VinylSd,4,5,1,1327.0,1,0,3,3,9.172326929777967,7.215975002651466,7.215975002651466,12.170445467887022
2010,3.0,173500.0,0.0,3,Norm,0,Y,0,3,8,2,20,SBrkr,None,Lvl,4,1430.0,3,3,RL,GasA,1,0.0,CompShg,1430.0,0.0,WD,0.0,7,0.0,Attchd,Mitchel,1,1,5,Norm,1Fam,923202105,0,0.0,NA,0.0,Inside,0.0,Y,1430.0,Pave,NA,2,1Story,0.0,0,0,RFn,5,324,10114.0,4,2005,624.0,PConc,2004,0.0,NA,0.0,0.0,VinylSd,Gable,3,VinylSd,5,5,1,1430.0,1,0,3,3,9.221675881639928,7.265429723253953,7.265429723253953,12.063932878369052
2008,2.0,98000.0,720.0,3,Norm,0,Y,0,3,8,1,70,SBrkr,None,Lvl,3,624.0,2,5,RM,GasA,1,0.0,CompShg,624.0,0.0,COD,0.0,7,0.0,Detchd,OldTown,1,1,2,Norm,1Fam,902301140,0,0.0,NA,0.0,Inside,96.0,N,1344.0,Pave,Grvl,3,2Story,0.0,0,0,Unf,5,1311,4571.0,4,1950,513.0,BrkTil,1916,0.0,NA,0.0,0.0,AsbShng,Gable,3,AsbShng,3,5,1,624.0,1,0,4,1,8.427487278331744,6.436150368369428,7.203405521083095,11.49272275765271
2009,3.0,139000.0,0.0,3,Norm,0,Y,0,3,8,1,20,SBrkr,None,Lvl,3,1121.0,3,6,RL,GasA,3,0.0,CompShg,1121.0,0.0,WD,0.0,5,0.0,Detchd,Sawyer,1,1,3,Feedr,1Fam,905101490,0,0.0,MnPrv,0.0,Corner,0.0,Y,1121.0,Pave,NA,2,1Story,0.0,0,0,Unf,5,770,8816.0,4,1963,480.0,PConc,1963,80.0,NA,651.0,0.0,VinylSd,Gable,3,VinylSd,3,6,1,470.0,1,1,3,1,9.084323531392696,7.02197642307216,7.02197642307216,11.842229212112828
2007,3.0,143500.0,0.0,3,Norm,0,Y,1,3,8,1,20,SBrkr,BrkFace,Lvl,3,1285.0,3,4,RL,GasA,1,0.0,CompShg,660.0,0.0,WD,138.0,7,0.0,Attchd,Sawyer,1,1,5,Norm,1Fam,905107140,1,0.0,MnPrv,148.0,Inside,0.0,Y,1285.0,Pave,NA,2,1Story,0.0,0,3,RFn,6,2063,8197.0,4,1977,528.0,CBlock,1977,0.0,NA,0.0,0.0,Plywood,Gable,3,Plywood,3,5,1,660.0,1,0,3,1,9.011523512653032,7.158513997329321,7.158513997329321,11.874090314181814
2010,3.0,215200.0,783.0,3,Norm,0,Y,1,3,8,2,60,SBrkr,None,Lvl,4,764.0,3,6,FV,GasA,6,0.0,CompShg,756.0,0.0,Con,169.0,7,0.0,Attchd,Somerst,1,1,5,Norm,1Fam,528458070,0,0.0,NA,0.0,Inside,0.0,Y,1547.0,Pave,NA,2,2Story,0.0,0,0,Unf,7,69,8640.0,4,2009,614.0,PConc,2009,45.0,NA,24.0,0.0,VinylSd,Gable,3,VinylSd,4,5,1,732.0,1,0,3,2,9.064157861798101,6.638567789166521,7.344072850573066,12.279323107269766
2007,3.0,129000.0,0.0,3,Norm,0,Y,0,3,8,1,20,SBrkr,None,Lvl,3,894.0,3,5,RL,GasA,4,0.0,CompShg,894.0,0.0,WD,0.0,5,0.0,Attchd,Sawyer,1,1,4,Norm,1Fam,905106150,1,0.0,NA,0.0,Inside,0.0,Y,894.0,Pave,NA,2,1Story,0.0,0,1,Fin,5,2062,8724.0,4,1968,450.0,CBlock,1968,0.0,NA,492.0,0.0,VinylSd,Gable,3,VinylSd,4,5,1,402.0,1,0,3,1,9.07383312732152,6.795705775173514,6.795705775173514,11.76756768334381
2009,3.0,278000.0,0.0,4,Norm,0,Y,0,3,8,2,120,SBrkr,None,Lvl,5,1659.0,3,10,RL,GasA,6,0.0,CompShg,1501.0,0.0,WD,212.0,5,0.0,Attchd,StoneBr,1,1,5,Norm,TwnhsE,527131030,1,0.0,NA,0.0,Inside,0.0,Y,1659.0,Pave,NA,2,1Story,0.0,0,5,Fin,8,351,5664.0,4,2000,499.0,PConc,2000,59.0,NA,1158.0,0.0,CemntBd,Gable,3,CmentBd,4,5,1,343.0,2,1,2,1,8.641885635373555,7.413970290190444,7.413970290190444,12.535376392672774
2010,3.0,185000.0,0.0,3,Norm,0,Y,0,4,8,2,20,SBrkr,None,Lvl,3,1187.0,3,3,RL,GasA,5,0.0,CompShg,1168.0,0.0,WD,483.0,6,0.0,Attchd,Gilbert,1,1,5,Norm,1Fam,527165230,0,0.0,GdPrv,0.0,Inside,0.0,Y,1187.0,Pave,NA,2,1Story,500.0,0,0,Fin,6,12,7980.0,4,2007,420.0,PConc,1992,21.0,Shed,935.0,0.0,HdBoard,Gable,3,HdBoard,4,7,1,233.0,2,1,3,1,8.984693690443855,7.079184394609668,7.079184394609668,12.128111104060462
2006,3.0,145000.0,0.0,3,Norm,0,Y,0,3,8,1,190,SBrkr,None,Bnk,3,1056.0,3,1,RL,GasA,3,0.0,CompShg,1056.0,0.0,WD,264.0,5,0.0,Attchd,Gilbert,1,1,3,Norm,2FmCon,527250040,0,0.0,NA,0.0,Inside,0.0,N,1056.0,Pave,NA,2,1Story,0.0,0,0,Fin,5,2339,34650.0,4,1955,572.0,CBlock,1955,0.0,NA,1056.0,0.0,Wd Sdng,Hip,3,Wd Sdng,3,5,1,0.0,1,1,3,2,10.453053004618049,6.962243464266207,6.962243464266207,11.884489021402711
2009,3.0,187500.0,0.0,3,Norm,0,Y,0,3,8,2,20,SBrkr,BrkFace,Lvl,3,1453.0,3,4,RL,GasA,3,0.0,CompShg,1453.0,0.0,WD,0.0,6,288.0,Attchd,Names,1,1,5,Norm,1Fam,535104120,1,0.0,GdPrv,3.0,Corner,0.0,Y,1453.0,Pave,NA,2,1Story,0.0,0,3,RFn,6,624,10573.0,4,1961,530.0,CBlock,1961,49.0,NA,1312.0,0.0,MetalSd,Hip,3,MetalSd,3,6,1,141.0,2,1,3,1,9.266058860732526,7.2813856635702825,7.2813856635702825,12.141534124392603
2010,3.0,138500.0,0.0,3,Norm,0,Y,0,4,8,1,20,SBrkr,None,Lvl,3,894.0,3,4,RL,GasA,6,117.0,CompShg,894.0,0.0,WD,416.0,5,0.0,Detchd,Sawyer,1,4,5,RRAe,1Fam,532376160,1,0.0,MnPrv,0.0,Inside,0.0,Y,894.0,Pave,NA,1,1Story,0.0,0,4,Unf,5,86,8450.0,4,2009,336.0,CBlock,1965,144.0,NA,553.0,0.0,MetalSd,Gable,3,MetalSd,3,8,1,224.0,1,1,3,1,9.041921720351219,6.795705775173514,6.795705775173514,11.83862560460953
2008,3.0,198000.0,673.0,3,Norm,0,Y,0,3,6,2,50,SBrkr,None,HLS,4,1265.0,3,7,RL,GasA,4,0.0,CompShg,942.0,0.0,WD,0.0,7,0.0,Detchd,Crawfor,2,1,5,Norm,1Fam,909277040,1,0.0,NA,0.0,Inside,0.0,Y,1938.0,Pave,Grvl,1,1.5Fin,0.0,0,4,Unf,5,1534,11700.0,4,1995,240.0,CBlock,1937,40.0,NA,606.0,0.0,WdShing,Gable,3,Wd Shng,3,6,1,336.0,2,0,4,1,9.367344120785848,7.142827401161621,7.569411792450712,12.196022309676673
2007,-1.0,119600.0,957.0,3,Norm,0,N,0,4,8,2,190,SBrkr,None,Lvl,3,1034.0,0,6,C,GasA,1,0.0,CompShg,957.0,0.0,WD,0.0,9,0.0,NA,IDOTRR,1,1,2,Feedr,2FmCon,911103060,0,0.0,NA,0.0,Inside,133.0,N,1991.0,Pave,NA,0,2Story,0.0,0,0,NA,5,2243,8250.0,4,2006,0.0,CBlock,1895,0.0,NA,0.0,0.0,VinylSd,Gable,3,VinylSd,3,6,2,957.0,1,0,4,1,9.017968479328726,6.9411900550683745,7.596392304064196,11.691908120498669
2007,3.0,122900.0,252.0,3,Norm,0,Y,0,4,8,1,50,SBrkr,None,Lvl,3,672.0,3,7,RL,GasA,1,0.0,CompShg,672.0,0.0,WD,0.0,6,0.0,Detchd,Names,1,1,5,Artery,1Fam,535450190,1,0.0,MnPrv,0.0,Corner,0.0,Y,924.0,Pave,NA,2,1.5Fin,2000.0,0,1,Unf,5,1957,8064.0,4,2006,576.0,CBlock,1949,0.0,Shed,0.0,0.0,MetalSd,Gable,3,MetalSd,3,7,1,672.0,1,0,3,2,8.99516499031115,6.51025834052315,6.828712071641684,11.719126295554126
2009,3.0,278000.0,0.0,4,Norm,0,Y,1,3,8,2,20,SBrkr,None,Lvl,4,2524.0,3,7,RL,GasA,5,0.0,WdShngl,2524.0,0.0,WD,474.0,9,0.0,Attchd,NWAmes,1,1,3,PosN,1Fam,527355150,1,0.0,MnPrv,0.0,Inside,0.0,Y,2524.0,Pave,NA,2,1Story,0.0,0,4,Fin,8,380,9600.0,4,1981,542.0,PConc,1981,120.0,NA,1104.0,0.0,BrkFace,Hip,3,BrkFace,4,5,1,1420.0,1,1,4,1,9.169518377455928,7.8336002236611035,7.8336002236611035,12.535376392672774
2006,3.0,230000.0,725.0,3,Norm,0,Y,0,3,8,1,70,SBrkr,None,HLS,4,792.0,3,6,RL,GasA,1,0.0,CompShg,792.0,0.0,WD,0.0,7,0.0,Detchd,Crawfor,2,1,2,Norm,1Fam,909276010,2,0.0,NA,0.0,Corner,0.0,Y,1517.0,Pave,NA,2,2Story,0.0,0,4,Unf,8,2860,11435.0,4,1950,400.0,PConc,1929,0.0,NA,0.0,0.0,BrkFace,Gable,3,Stucco,4,7,1,792.0,2,0,3,1,9.344434106456882,6.674561391814426,7.324489979348532,12.345834587905333
2006,3.0,270000.0,0.0,4,Norm,0,Y,1,4,8,1,120,SBrkr,None,Lvl,5,1494.0,3,4,RL,GasA,2,1057.0,CompShg,1494.0,0.0,WD,0.0,6,216.0,Attchd,Veenker,1,6,5,Norm,TwnhsE,533250130,1,0.0,NA,0.0,CulDSac,0.0,Y,1494.0,Pave,NA,2,1Story,0.0,0,4,Fin,8,2517,9549.0,4,1996,481.0,PConc,1995,30.0,NA,437.0,0.0,BrkFace,Hip,4,BrkFace,4,5,1,0.0,2,1,2,3,9.164191715950203,7.309212365692763,7.309212365692763,12.506177237980511
2007,3.0,125000.0,0.0,3,Norm,0,N,0,3,8,1,20,SBrkr,None,Lvl,3,948.0,3,4,RL,GasA,5,0.0,CompShg,948.0,0.0,WD,0.0,5,0.0,Detchd,Names,1,1,3,Norm,1Fam,535302070,0,0.0,NA,0.0,Inside,0.0,Y,948.0,Pave,NA,2,1Story,0.0,0,0,Unf,6,1933,10950.0,4,1952,410.0,CBlock,1952,48.0,NA,441.0,0.0,Wd Sdng,Hip,3,Wd Sdng,3,6,1,507.0,1,0,2,1,9.301094735244646,6.854354502255021,6.854354502255021,11.736069016284437
2009,3.0,297000.0,0.0,4,Norm,0,Y,0,3,8,2,20,SBrkr,Stone,Lvl,4,1718.0,3,9,RL,GasA,6,0.0,CompShg,1705.0,0.0,WD,208.0,7,0.0,Attchd,CollgCr,1,1,5,Norm,1Fam,906340110,1,0.0,NA,336.0,Inside,0.0,Y,1718.0,Pave,NA,3,1Story,0.0,0,4,RFn,8,820,10637.0,4,2008,826.0,PConc,2007,44.0,NA,1288.0,0.0,VinylSd,Hip,3,VinylSd,5,5,1,417.0,1,1,3,4,9.272093768251665,7.4489161025442,7.4489161025442,12.601487417784837
2009,3.0,113500.0,0.0,3,Norm,0,Y,0,3,8,1,20,SBrkr,BrkFace,HLS,3,1142.0,3,4,RL,GasA,1,0.0,Tar&Grv,160.0,0.0,WD,0.0,5,0.0,Basment,Names,2,1,2,Norm,1Fam,535426150,1,0.0,NA,82.0,Inside,64.0,Y,1142.0,Pave,NA,1,1Story,0.0,0,4,RFn,6,675,9000.0,4,1958,384.0,CBlock,1958,28.0,NA,0.0,0.0,Wd Sdng,Flat,3,Wd Sdng,4,6,1,160.0,2,0,2,4,9.104979856318357,7.040536390215956,7.040536390215956,11.639558115903595
2006,3.0,127000.0,550.0,3,Norm,0,Y,0,3,8,2,160,SBrkr,None,Lvl,3,925.0,3,7,RM,GasA,5,173.0,CompShg,757.0,0.0,WD,104.0,6,0.0,Attchd,MeadowV,1,3,5,Norm,TwnhsE,923225240,1,0.0,NA,0.0,Inside,0.0,Y,1475.0,Pave,NA,1,2Story,0.0,0,3,RFn,5,2910,2665.0,4,1977,336.0,PConc,1977,26.0,NA,548.0,0.0,CemntBd,Gable,3,CmentBd,3,6,1,36.0,1,0,4,1,7.887959336599945,6.829793737512425,7.29641326877392,11.751942365440728
2010,3.0,190000.0,0.0,3,Norm,0,Y,0,3,8,2,20,SBrkr,BrkFace,Lvl,3,1844.0,3,1,RL,GasA,4,0.0,CompShg,1844.0,0.0,COD,0.0,7,0.0,Attchd,NWAmes,1,1,5,Norm,1Fam,527358140,1,0.0,MnPrv,480.0,Inside,0.0,Y,1844.0,Pave,NA,2,1Story,0.0,0,3,RFn,6,21,11751.0,4,1977,546.0,CBlock,1977,122.0,NA,705.0,0.0,Plywood,Hip,3,Plywood,4,6,1,1139.0,2,0,3,1,9.371693622333941,7.519692404116539,7.519692404116539,12.154779351142624
2007,3.0,175500.0,0.0,3,Norm,0,Y,1,3,8,1,20,SBrkr,BrkFace,Lvl,3,1242.0,3,9,RL,GasA,5,0.0,CompShg,1242.0,0.0,WD,0.0,6,0.0,Attchd,NWAmes,1,1,2,Norm,1Fam,534177210,1,0.0,NA,320.0,Inside,0.0,Y,1242.0,Pave,NA,2,1Story,0.0,0,3,Unf,7,1873,9600.0,4,1973,528.0,CBlock,1973,0.0,NA,916.0,0.0,HdBoard,Hip,3,HdBoard,3,6,1,326.0,1,0,3,1,9.169518377455928,7.124478262493424,7.124478262493424,12.075394321888057
2007,3.0,146000.0,0.0,3,Norm,0,Y,0,4,8,1,20,SBrkr,None,Lvl,3,990.0,3,7,RL,GasA,6,0.0,CompShg,990.0,0.0,WD,256.0,5,0.0,Detchd,CollgCr,1,1,5,Norm,1Fam,907135050,0,0.0,NA,0.0,Inside,0.0,Y,990.0,Pave,NA,1,1Story,0.0,0,0,Unf,5,2125,8428.0,4,1994,384.0,PConc,1994,0.0,NA,420.0,0.0,VinylSd,Gable,4,VinylSd,4,7,1,570.0,3,1,3,1,9.03931477492408,6.897704943128636,6.897704943128636,11.891361900690473
2008,3.0,147500.0,0.0,4,Norm,0,Y,1,3,8,1,20,SBrkr,None,Lvl,3,1256.0,3,6,RL,GasA,4,290.0,CompShg,1256.0,0.0,WD,736.0,6,0.0,Attchd,Edwards,1,2,4,Norm,1Fam,908102260,0,0.0,NA,0.0,Inside,0.0,Y,1256.0,Pave,NA,1,1Story,0.0,0,0,Fin,5,1489,9937.0,4,1965,276.0,CBlock,1965,68.0,NA,830.0,0.0,HdBoard,Gable,3,HdBoard,3,6,1,136.0,1,1,3,1,9.204020443231363,7.135687347028144,7.135687347028144,11.901583454762012
2009,3.0,165500.0,0.0,3,Norm,0,Y,0,4,8,1,85,SBrkr,BrkFace,Lvl,4,1110.0,3,7,RL,GasA,6,0.0,CompShg,1097.0,0.0,WD,303.0,4,0.0,Attchd,Mitchel,1,1,5,Norm,1Fam,923275040,1,0.0,NA,104.0,Corner,0.0,Y,1110.0,Pave,NA,2,SFoyer,0.0,0,3,Fin,5,983,9101.0,4,1978,602.0,PConc,1978,30.0,NA,1097.0,0.0,Plywood,Gable,3,Plywood,4,6,1,0.0,2,1,1,3,9.116139576577355,7.01211529430638,7.01211529430638,12.016726473799254
2008,3.0,131500.0,745.0,3,Norm,0,Y,0,3,8,2,50,FuseF,BrkFace,Lvl,3,1050.0,2,11,RM,GasA,1,0.0,CompShg,1050.0,0.0,WD,0.0,7,0.0,Attchd,OldTown,1,1,5,Norm,1Fam,902406090,0,0.0,NA,335.0,Inside,0.0,N,1795.0,Pave,Grvl,1,1.5Fin,0.0,0,0,Unf,5,1325,12150.0,4,1954,352.0,BrkTil,1954,0.0,NA,0.0,0.0,MetalSd,Gable,3,MetalSd,3,5,1,1050.0,1,0,4,1,9.405084448768694,6.956545443151569,7.492760300922379,11.786762130599957
2008,3.0,129500.0,0.0,3,Norm,0,Y,0,3,8,1,20,SBrkr,None,Lvl,3,1040.0,3,2,RL,GasA,3,0.0,CompShg,1040.0,0.0,WD,0.0,5,0.0,Detchd,Sawyer,1,1,5,Norm,1Fam,905102170,0,0.0,NA,0.0,Inside,0.0,Y,1040.0,Pave,NA,1,1Story,0.0,0,0,Unf,5,1378,11200.0,4,1965,384.0,CBlock,1965,0.0,NA,906.0,0.0,HdBoard,Hip,3,HdBoard,3,5,1,134.0,1,1,3,1,9.323669057283185,6.946975992135418,6.946975992135418,11.771436160121729
