Condition 2,Garage Cond,Overall Qual,Land Contour,Heating,Enclosed Porch,Lot Shape,Kitchen AbvGr,Garage Finish,Lot Area,Bsmt Exposure,Electrical,Functional,Alley,Land Slope,Fireplaces,Wood Deck SF,Garage Type,Year Remod/Add,MS SubClass,Bldg Type,Exter Cond,BsmtFin Type 2,Exterior 1st,Id,PID,Roof Matl,Overall Cond,Low Qual Fin SF,Screen Porch,Exter Qual,Kitchen Qual,BsmtFin SF 1,Roof Style,Utilities,BsmtFin Type 1,Bsmt Unf SF,Sale Type,Year Built,Mas Vnr Area,Bsmt Full Bath,Misc Feature,Fence,Garage Area,Exterior 2nd,Mas Vnr Type,MS Zoning,3Ssn Porch,Mo Sold,1st Flr SF,2nd Flr SF,Garage Qual,Half Bath,Central Air,Condition 1,BsmtFin SF 2,Foundation,Bsmt Qual,Pool QC,Bsmt Cond,Lot Config,Bedroom AbvGr,Full Bath,Total Bsmt SF,Garage Cars,Heating QC,Bsmt Half Bath,Pool Area,Yr Sold,Paved Drive,Misc Val,Gr Liv Area,SalePrice,House Style,Street,TotRms AbvGrd,Neighborhood,Fireplace Qu,Open Porch SF
Norm,TA,7,Lvl,GasA,0.0,IR1,1,RFn,7488.0,Av,SBrkr,Typ,NA,Gtl,0,105.0,Attchd,2005,20,1Fam,TA,Unf,VinylSd,2752,906380150,CompShg,5,0.0,0.0,Gd,Gd,393.0,Gable,AllPub,GLQ,815.0,WD,2005,0.0,0,NA,NA,632.0,VinylSd,None,RL,0.0,2,1208.0,0.0,TA,0,Y,Norm,0.0,PConc,Gd,NA,TA,Inside,2,2,1208.0,2,Ex,0,0.0,2006,Y,0.0,1208.0,183600.0,1Story,Pave,6,CollgCr,NA,58.0
Norm,TA,5,Bnk,GasA,0.0,Reg,1,Unf,26400.0,NA,SBrkr,Mod,NA,Gtl,1,0.0,Attchd,2007,70,1Fam,TA,NA,HdBoard,807,906226060,CompShg,7,0.0,0.0,Gd,TA,0.0,Gable,AllPub,NA,0.0,WD,1880,0.0,0,NA,NA,576.0,HdBoard,None,RL,0.0,6,1288.0,728.0,TA,0,Y,Feedr,0.0,PConc,NA,NA,NA,FR2,4,1,0.0,2,Ex,0,0.0,2009,P,0.0,2016.0,131000.0,2Story,Pave,7,SawyerW,TA,0.0
Norm,TA,8,Lvl,GasA,0.0,Reg,1,Unf,2645.0,No,SBrkr,Typ,Pave,Gtl,0,169.0,Detchd,2000,160,TwnhsI,TA,Unf,MetalSd,1177,533236070,CompShg,5,0.0,0.0,Gd,Gd,813.0,Gable,AllPub,GLQ,147.0,ConLD,1999,456.0,1,NA,NA,480.0,MetalSd,BrkFace,FV,0.0,12,962.0,645.0,TA,1,Y,Norm,0.0,PConc,Gd,NA,TA,Inside,3,2,960.0,2,Ex,0,0.0,2008,Y,0.0,1607.0,200000.0,2Story,Pave,7,Somerst,NA,0.0
Norm,TA,7,Lvl,GasA,0.0,Reg,1,RFn,9627.0,Av,SBrkr,Typ,NA,Gtl,0,0.0,Attchd,2007,20,1Fam,TA,Unf,VinylSd,1480,907418040,CompShg,5,0.0,0.0,Gd,Gd,24.0,Gable,AllPub,GLQ,1327.0,WD,2007,0.0,0,NA,NA,610.0,VinylSd,None,RL,0.0,6,1361.0,0.0,TA,0,Y,Norm,0.0,PConc,Gd,NA,TA,Inside,3,2,1351.0,2,Ex,0,0.0,2008,Y,0.0,1361.0,193000.0,1Story,Pave,6,CollgCr,NA,50.0
Norm,TA,5,Lvl,GasA,0.0,Reg,1,RFn,10114.0,Av,SBrkr,Typ,NA,Gtl,0,0.0,Attchd,2005,20,1Fam,TA,Unf,VinylSd,324,923202105,CompShg,5,0.0,0.0,TA,Gd,0.0,Gable,AllPub,Unf,1430.0,WD,2004,0.0,0,NA,NA,624.0,VinylSd,None,RL,0.0,3,1430.0,0.0,TA,0,Y,Norm,0.0,PConc,Ex,NA,TA,Inside,3,2,1430.0,2,Ex,0,0.0,2010,Y,0.0,1430.0,173500.0,1Story,Pave,7,Mitchel,NA,0.0
Norm,Fa,5,Lvl,GasA,96.0,Reg,1,Unf,4571.0,No,SBrkr,Typ,Grvl,Gtl,0,0.0,Detchd,1950,70,1Fam,TA,Unf,AsbShng,1311,902301140,CompShg,5,0.0,0.0,TA,TA,0.0,Gable,AllPub,Unf,624.0,COD,1916,0.0,0,NA,NA,513.0,AsbShng,None,RM,0.0,5,624.0,720.0,Fa,0,N,Norm,0.0,BrkTil,TA,NA,TA,Inside,4,1,624.0,3,Fa,0,0.0,2008,Y,0.0,1344.0,98000.0,2Story,Pave,7,OldTown,NA,0.0
Norm,TA,5,Lvl,GasA,0.0,Reg,1,Unf,8816.0,No,SBrkr,Typ,NA,Gtl,0,0.0,Detchd,1963,20,1Fam,TA,Unf,VinylSd,770,905101490,CompShg,6,0.0,0.0,TA,TA,651.0,Gable,AllPub,Rec,470.0,WD,1963,0.0,1,NA,MnPrv,480.0,VinylSd,None,RL,0.0,6,1121.0,0.0,TA,0,Y,Feedr,0.0,PConc,TA,NA,TA,Corner,3,1,1121.0,2,TA,0,0.0,2009,Y,0.0,1121.0,139000.0,1Story,Pave,5,Sawyer,NA,80.0
Norm,TA,6,Lvl,GasA,0.0,Reg,1,RFn,8197.0,No,SBrkr,Typ,NA,Gtl,1,138.0,Attchd,1977,20,1Fam,TA,Unf,Plywood,2063,905107140,CompShg,5,0.0,0.0,TA,TA,0.0,Gable,AllPub,Unf,660.0,WD,1977,148.0,0,NA,MnPrv,528.0,Plywood,BrkFace,RL,0.0,4,1285.0,0.0,TA,1,Y,Norm,0.0,CBlock,TA,NA,TA,Inside,3,1,660.0,2,Ex,0,0.0,2007,Y,0.0,1285.0,143500.0,1Story,Pave,7,Sawyer,TA,0.0
Norm,TA,7,Lvl,GasA,0.0,Reg,1,Unf,8640.0,Mn,SBrkr,Typ,NA,Gtl,0,169.0,Attchd,2009,60,1Fam,TA,Unf,VinylSd,69,528458070,CompShg,5,0.0,0.0,TA,Gd,24.0,Gable,AllPub,GLQ,732.0,Con,2009,0.0,0,NA,NA,614.0,VinylSd,None,FV,0.0,6,764.0,783.0,TA,1,Y,Norm,0.0,PConc,Gd,NA,TA,Inside,3,2,756.0,2,Ex,0,0.0,2010,Y,0.0,1547.0,215200.0,2Story,Pave,7,Somerst,NA,45.0
Norm,TA,5,Lvl,GasA,0.0,Reg,1,Fin,8724.0,No,SBrkr,Typ,NA,Gtl,1,0.0,Attchd,1968,20,1Fam,TA,Unf,VinylSd,2062,905106150,CompShg,5,0.0,0.0,TA,TA,492.0,Gable,AllPub,BLQ,402.0,WD,1968,0.0,0,NA,NA,450.0,VinylSd,None,RL,0.0,5,894.0,0.0,TA,0,Y,Norm,0.0,CBlock,Gd,NA,TA,Inside,3,1,894.0,2,Gd,0,0.0,2007,Y,0.0,894.0,129000.0,1Story,Pave,5,Sawyer,Po,0.0
Norm,TA,8,Lvl,GasA,0.0,IR1,1,Fin,5664.0,No,SBrkr,Typ,NA,Gtl,1,212.0,Attchd,2000,120,TwnhsE,TA,Unf,CemntBd,351,527131030,CompShg,5,0.0,0.0,Gd,Ex,1158.0,Gable,AllPub,GLQ,343.0,WD,2000,0.0,1,NA,NA,499.0,CmentBd,None,RL,0.0,10,1659.0,0.0,TA,0,Y,Norm,0.0,PConc,Gd,NA,TA,Inside,2,2,1501.0,2,Ex,0,0.0,2009,Y,0.0,1659.0,278000.0,1Story,Pave,5,StoneBr,Ex,59.0
Norm,TA,6,Lvl,GasA,0.0,IR1,1,Fin,7980.0,No,SBrkr,Typ,NA,Gtl,0,483.0,Attchd,2007,20,1Fam,Gd,Unf,HdBoard,12,527165230,CompShg,7,0.0,0.0,TA,TA,935.0,Gable,AllPub,ALQ,233.0,WD,1992,0.0,1,Shed,GdPrv,420.0,HdBoard,None,RL,0.0,3,1187.0,0.0,TA,0,Y,Norm,0.0,PConc,Gd,NA,TA,Inside,3,2,1168.0,2,Ex,0,0.0,2010,Y,500.0,1187.0,185000.0,1Story,Pave,6,Gilbert,NA,21.0
Norm,TA,5,Bnk,GasA,0.0,Reg,1,Fin,34650.0,Mn,SBrkr,Typ,NA,Gtl,0,264.0,Attchd,1955,190,2FmCon,TA,Unf,Wd Sdng,2339,527250040,CompShg,5,0.0,0.0,TA,TA,1056.0,Hip,AllPub,Rec,0.0,WD,1955,0.0,1,NA,NA,572.0,Wd Sdng,None,RL,0.0,1,1056.0,0.0,TA,0,N,Norm,0.0,CBlock,TA,NA,TA,Inside,3,1,1056.0,2,TA,0,0.0,2006,Y,0.0,1056.0,145000.0,1Story,Pave,5,Gilbert,NA,0.0
Norm,TA,6,Lvl,GasA,0.0,IR1,1,RFn,10573.0,No,SBrkr,Typ,NA,Gtl,1,0.0,Attchd,1961,20,1Fam,TA,Unf,MetalSd,624,535104120,CompShg,6,0.0,288.0,TA,TA,1312.0,Hip,AllPub,Rec,141.0,WD,1961,3.0,1,NA,GdPrv,530.0,MetalSd,BrkFace,RL,0.0,4,1453.0,0.0,TA,0,Y,Norm,0.0,CBlock,TA,NA,TA,Corner,3,2,1453.0,2,Ex,0,0.0,2009,Y,0.0,1453.0,187500.0,1Story,Pave,6,Names,TA,49.0
Norm,TA,5,Lvl,GasA,0.0,Reg,1,Unf,8450.0,No,SBrkr,Typ,NA,Gtl,1,416.0,Detchd,2009,20,1Fam,Gd,BLQ,MetalSd,86,532376160,CompShg,8,0.0,0.0,TA,TA,553.0,Gable,AllPub,GLQ,224.0,WD,1965,0.0,1,NA,MnPrv,336.0,MetalSd,None,RL,0.0,4,894.0,0.0,TA,0,Y,RRAe,117.0,CBlock,TA,NA,TA,Inside,3,1,894.0,1,Ex,0,0.0,2010,Y,0.0,894.0,138500.0,1Story,Pave,5,Sawyer,Gd,144.0
Norm,TA,5,HLS,GasA,0.0,IR1,1,Unf,11700.0,No,SBrkr,Min2,Grvl,Mod,1,0.0,Detchd,1995,50,1Fam,TA,Unf,WdShing,1534,909277040,CompShg,6,0.0,0.0,TA,Gd,606.0,Gable,AllPub,BLQ,336.0,WD,1937,0.0,0,NA,NA,240.0,Wd Shng,None,RL,0.0,7,1265.0,673.0,TA,0,Y,Norm,0.0,CBlock,TA,NA,TA,Inside,4,2,942.0,1,Ex,0,0.0,2008,Y,0.0,1938.0,198000.0,1.5Fin,Pave,7,Crawfor,Gd,40.0
Norm,NA,5,Lvl,GasA,133.0,Reg,2,NA,8250.0,No,SBrkr,Typ,NA,Gtl,0,0.0,NA,2006,190,2FmCon,Gd,Unf,VinylSd,2243,911103060,CompShg,6,0.0,0.0,TA,TA,0.0,Gable,AllPub,Unf,957.0,WD,1895,0.0,0,NA,NA,0.0,VinylSd,None,C,0.0,6,1034.0,957.0,NA,0,N,Feedr,0.0,CBlock,TA,NA,TA,Inside,4,2,957.0,0,Fa,0,0.0,2007,N,0.0,1991.0,119600.0,2Story,Pave,9,IDOTRR,NA,0.0
Norm,TA,5,Lvl,GasA,0.0,Reg,1,Unf,8064.0,Mn,SBrkr,Typ,NA,Gtl,1,0.0,Detchd,2006,50,1Fam,Gd,Unf,MetalSd,1957,535450190,CompShg,7,0.0,0.0,TA,TA,0.0,Gable,AllPub,Unf,672.0,WD,1949,0.0,0,Shed,MnPrv,576.0,MetalSd,None,RL,0.0,7,672.0,252.0,TA,0,Y,Artery,0.0,CBlock,TA,NA,TA,Corner,3,1,672.0,2,Ex,0,0.0,2007,Y,2000.0,924.0,122900.0,1.5Fin,Pave,6,Names,Po,0.0
Norm,TA,8,Lvl,GasA,0.0,Reg,1,Fin,9600.0,No,SBrkr,Typ,NA,Gtl,1,474.0,Attchd,1981,20,1Fam,TA,Unf,BrkFace,380,527355150,WdShngl,5,0.0,0.0,Gd,Gd,1104.0,Hip,AllPub,ALQ,1420.0,WD,1981,0.0,1,NA,MnPrv,542.0,BrkFace,None,RL,0.0,7,2524.0,0.0,TA,1,Y,PosN,0.0,PConc,Gd,NA,TA,Inside,4,2,2524.0,2,TA,0,0.0,2009,Y,0.0,2524.0,278000.0,1Story,Pave,9,NWAmes,Gd,120.0
Norm,TA,8,HLS,GasA,0.0,IR1,1,Unf,11435.0,No,SBrkr,Typ,NA,Mod,2,0.0,Detchd,1950,70,1Fam,TA,Unf,BrkFace,2860,909276010,CompShg,7,0.0,0.0,TA,Gd,0.0,Gable,AllPub,Unf,792.0,WD,1929,0.0,0,NA,NA,400.0,Stucco,None,RL,0.0,6,792.0,725.0,TA,0,Y,Norm,0.0,PConc,Gd,NA,TA,Corner,3,1,792.0,2,Fa,0,0.0,2006,Y,0.0,1517.0,230000.0,2Story,Pave,7,Crawfor,Gd,0.0
Norm,TA,8,Lvl,GasA,0.0,IR1,1,Fin,9549.0,Av,SBrkr,Typ,NA,Gtl,1,0.0,Attchd,1996,120,TwnhsE,Gd,GLQ,BrkFace,2517,533250130,CompShg,5,0.0,216.0,Gd,Ex,437.0,Hip,AllPub,LwQ,0.0,WD,1995,0.0,1,NA,NA,481.0,BrkFace,None,RL,0.0,4,1494.0,0.0,TA,1,Y,Norm,1057.0,PConc,Gd,NA,Gd,CulDSac,2,1,1494.0,2,Ex,0,0.0,2006,Y,0.0,1494.0,270000.0,1Story,Pave,6,Veenker,Gd,30.0
Norm,TA,6,Lvl,GasA,0.0,Reg,1,Unf,10950.0,No,SBrkr,Typ,NA,Gtl,0,0.0,Detchd,1952,20,1Fam,TA,Unf,Wd Sdng,1933,535302070,CompShg,6,0.0,0.0,TA,TA,441.0,Hip,AllPub,ALQ,507.0,WD,1952,0.0,0,NA,NA,410.0,Wd Sdng,None,RL,0.0,4,948.0,0.0,TA,0,Y,Norm,0.0,CBlock,TA,NA,TA,Inside,2,1,948.0,2,TA,0,0.0,2007,N,0.0,948.0,125000.0,1Story,Pave,5,Names,NA,48.0
Norm,TA,8,Lvl,GasA,0.0,Reg,1,RFn,10637.0,Gd,SBrkr,Typ,NA,Gtl,1,208.0,Attchd,2008,20,1Fam,TA,Unf,VinylSd,820,906340110,CompShg,5,0.0,0.0,Gd,Gd,1288.0,Hip,AllPub,GLQ,417.0,WD,2007,336.0,1,NA,NA,826.0,VinylSd,Stone,RL,0.0,9,1718.0,0.0,TA,0,Y,Norm,0.0,PConc,Ex,NA,TA,Inside,3,2,1705.0,3,Ex,0,0.0,2009,Y,0.0,1718.0,297000.0,1Story,Pave,7,CollgCr,Gd,44.0
Norm,TA,6,HLS,GasA,64.0,IR1,1,RFn,9000.0,Gd,SBrkr,Typ,NA,Mod,1,0.0,Basment,1958,20,1Fam,TA,Unf,Wd Sdng,675,535426150,Tar&Grv,6,0.0,0.0,TA,TA,0.0,Flat,AllPub,Unf,160.0,WD,1958,82.0,0,NA,NA,384.0,Wd Sdng,BrkFace,RL,0.0,4,1142.0,0.0,TA,0,Y,Norm,0.0,CBlock,Gd,NA,TA,Inside,2,1,160.0,1,Fa,0,0.0,2009,Y,0.0,1142.0,113500.0,1Story,Pave,5,Names,Gd,28.0
Norm,TA,5,Lvl,GasA,0.0,Reg,1,RFn,2665.0,No,SBrkr,Typ,NA,Gtl,1,104.0,Attchd,1977,160,TwnhsE,TA,Rec,CemntBd,2910,923225240,CompShg,6,0.0,0.0,TA,TA,548.0,Gable,AllPub,ALQ,36.0,WD,1977,0.0,0,NA,NA,336.0,CmentBd,None,RM,0.0,7,925.0,550.0,TA,0,Y,Norm,173.0,PConc,TA,NA,TA,Inside,4,2,757.0,1,Ex,0,0.0,2006,Y,0.0,1475.0,127000.0,2Story,Pave,6,MeadowV,TA,26.0
Norm,TA,6,Lvl,GasA,0.0,IR1,1,RFn,11751.0,No,SBrkr,Typ,NA,Gtl,1,0.0,Attchd,1977,20,1Fam,TA,Unf,Plywood,21,527358140,CompShg,6,0.0,0.0,TA,TA,705.0,Hip,AllPub,BLQ,1139.0,COD,1977,480.0,0,NA,MnPrv,546.0,Plywood,BrkFace,RL,0.0,1,1844.0,0.0,TA,0,Y,Norm,0.0,CBlock,Gd,NA,TA,Inside,3,2,1844.0,2,Ex,0,0.0,2010,Y,0.0,1844.0,190000.0,1Story,Pave,7,NWAmes,TA,122.0
Norm,TA,7,Lvl,GasA,0.0,Reg,1,Unf,9600.0,No,SBrkr,Typ,NA,Gtl,1,0.0,Attchd,1973,20,1Fam,TA,Unf,HdBoard,1873,534177210,CompShg,6,0.0,0.0,TA,TA,916.0,Hip,AllPub,ALQ,326.0,WD,1973,320.0,0,NA,NA,528.0,HdBoard,BrkFace,RL,0.0,9,1242.0,0.0,TA,1,Y,Norm,0.0,CBlock,TA,NA,TA,Inside,3,1,1242.0,2,Fa,0,0.0,2007,Y,0.0,1242.0,175500.0,1Story,Pave,6,NWAmes,TA,0.0
Norm,TA,5,Lvl,GasA,0.0,IR2,1,Unf,8428.0,No,SBrkr,Typ,NA,Gtl,0,256.0,Detchd,1994,20,1Fam,Gd,Unf,VinylSd,2125,907135050,CompShg,7,0.0,0.0,TA,TA,420.0,Gable,AllPub,GLQ,570.0,WD,1994,0.0,1,NA,NA,384.0,VinylSd,None,RL,0.0,7,990.0,0.0,TA,0,Y,Norm,0.0,PConc,Gd,NA,Gd,Inside,3,1,990.0,1,Ex,0,0.0,2007,Y,0.0,990.0,146000.0,1Story,Pave,5,CollgCr,NA,0.0
Norm,TA,5,Lvl,GasA,0.0,Reg,1,Fin,9937.0,No,SBrkr,Typ,NA,Gtl,0,736.0,Attchd,1965,20,1Fam,TA,LwQ,HdBoard,1489,908102260,CompShg,6,0.0,0.0,Gd,TA,830.0,Gable,AllPub,BLQ,136.0,WD,1965,0.0,1,NA,NA,276.0,HdBoard,None,RL,0.0,6,1256.0,0.0,TA,1,Y,Norm,290.0,CBlock,TA,NA,TA,Inside,3,1,1256.0,1,Gd,0,0.0,2008,Y,0.0,1256.0,147500.0,1Story,Pave,6,Edwards,NA,68.0
Norm,TA,5,Lvl,GasA,0.0,IR1,1,Fin,9101.0,Av,SBrkr,Typ,NA,Gtl,1,303.0,Attchd,1978,85,1Fam,Gd,Unf,Plywood,983,923275040,CompShg,6,0.0,0.0,TA,Gd,1097.0,Gable,AllPub,GLQ,0.0,WD,1978,104.0,1,NA,NA,602.0,Plywood,BrkFace,RL,0.0,7,1110.0,0.0,TA,0,Y,Norm,0.0,PConc,Gd,NA,TA,Corner,1,1,1097.0,2,Ex,0,0.0,2009,Y,0.0,1110.0,165500.0,SFoyer,Pave,4,Mitchel,TA,30.0
Norm,TA,5,Lvl,GasA,0.0,Reg,1,Unf,12150.0,No,FuseF,Typ,Grvl,Gtl,0,0.0,Attchd,1954,50,1Fam,TA,Unf,MetalSd,1325,902406090,CompShg,5,0.0,0.0,TA,TA,0.0,Gable,AllPub,Unf,1050.0,WD,1954,335.0,0,NA,NA,352.0,MetalSd,BrkFace,RM,0.0,11,1050.0,745.0,Fa,0,N,Norm,0.0,BrkTil,TA,NA,TA,Inside,4,2,1050.0,1,Ex,0,0.0,2008,Y,0.0,1795.0,131500.0,1.5Fin,Pave,7,OldTown,NA,0.0
Norm,TA,5,Lvl,GasA,0.0,Reg,1,Unf,11200.0,No,SBrkr,Typ,NA,Gtl,0,0.0,Detchd,1965,20,1Fam,TA,Unf,HdBoard,1378,905102170,CompShg,5,0.0,0.0,TA,TA,906.0,Hip,AllPub,Rec,134.0,WD,1965,0.0,1,NA,NA,384.0,HdBoard,None,RL,0.0,2,1040.0,0.0,TA,0,Y,Norm,0.0,CBlock,TA,NA,TA,Inside,3,1,1040.0,1,Ex,0,0.0,2008,Y,0.0,1040.0,129500.0,1Story,Pave,5,Sawyer,NA,0.0
Norm,TA,8,HLS,GasA,207.0,IR1,1,Fin,9670.0,No,SBrkr,Typ,NA,Mod,2,0.0,Detchd,1950,70,1Fam,TA,Unf,BrkFace,1537,909281110,CompShg,6,0.0,0.0,TA,TA,210.0,Gable,AllPub,LwQ,398.0,WD,1935,40.0,0,NA,NA,786.0,Stucco,Stone,RL,0.0,6,983.0,890.0,Fa,1,Y,Norm,0.0,PConc,TA,NA,Fa,Inside,4,1,608.0,2,TA,0,0.0,2008,Y,0.0,1873.0,257076.0,2Story,Pave,9,Crawfor,Gd,0.0
